segmentid,index,ref,KO,SP
S-SC-OB-04-0183,183,A,마르티나는 로봇의 손을 가져다가 씻었다.,Martina tomó la mano del robot y la lavó.
,,B,,
S-SC-OB-04-0184,184,A,마르티나는 로봇의 손을 씻었다.,Martina le tomó la mano al robot y se la lavó.
,,B,,
S-SC-OB-04-0185,185,A,엄마는 내 머리를 감겨 주었다.,Mi madre me lavó el pelo.
,,B,,
S-SC-OB-04-0186,186,A,엄마는 내가 집을 청소하는 동안 나의 가발을 닦아주었다.,Mi madre lavó mi pelo mientras yo limpiaba la casa.
,,B,,
S-SC-OB-04-0187,187,A,후안의 넥타이를 정리해줬어요.,Le arreglé la corbata a Juan.
,,B,,Arreglé la corbata de Juan.
S-SC-OB-04-0188,188,A,미나가 남동생을 얼굴을 때렸다.,Mina le golpeó la cara a su hermano.
,,B,,Mina golpeó la cara de su hermano.
S-SC-OB-04-0189,189,A,미나가 남동생의 얼굴을 보았다.,Mina le vio la cara a su hermano.
,,B,,Mina vio la cara de su hermano.
S-SC-OB-04-0190,190,A,모퉁이 너머로 살짝 보이는 교수님의 발을 봤다.,Vieron el pie del profesor asomarse por la esquina.
,,B,,
S-SC-OB-04-0191,191,A,그 남자가 고양이를 꼬리를 밟았다.,Ese hombre le pisó la cola al gato.
,,B,,Ese hombre pisó la cola del gato.
S-SC-OB-04-0192,192,A,그 남자가 내 딸의 인형을 망가뜨렸다.,Ese hombre le rompió la muñeca a mi hija.
,,B,,Ese hombre rompió la muñeca de mi hija.
S-SC-OB-04-0193,193,A,마리아의 눈은 수술을 받았다.,Le operaron los ojos a Martina.
,,B,그들은 마리아의 눈을 수술했다.,
S-SC-OB-04-0194,194,A,페드로의 차가 도난을 당했다.,Le robaron el coche a Pedro.
,,B,그들은 페드로의 차를 훔쳤다.,
S-SC-OB-04-0195,195,A,그의 차가 도난을 당했다.,Le robaron su coche.
,,B,그들은 그의 차를 훔쳤다.,
S-SC-OB-04-0196,196,A,그의 눈은 눈물로 가득찼다.,Los ojos se le llenaron de lágrimas
,,B,,
S-SC-OB-04-0197,197,A,그들은 말을 죽였다.,Le mataron el caballo.
,,B,,
S-SC-OB-04-0198,198,A,우리 부모님의 의도를 알아차렸다.,Le noté las intenciones a mis padres.
,,B,,Noté las intenciones de mis padres.
