sentenceid,index,KO,SP,KO_word,SP_word,direction
L-00-FM-01-0181,181,걔 누나 소식을 듣고 걔는 눈이 뒤집혔어.,Se le fue la cabeza al escuchar la noticia de su hermana.,눈이 뒤집히다,se fue la cabeza,ambos
L-00-FM-01-0182,182,그 지하철 사고는 안전 불감증에 대한 경종을 울린다.,El accidente de metro hizo sonar las armas sobre la falta de seguridad.,경종을 울린다,hizo sonar las alarmas,ambos
L-00-FM-01-0183,183,"항상 나한테 돈을 요구하는데, 국물도 없어",Siempre está pidiéndome dinero pero ni una gota más.,국물도 없어,ni una gota más,ambos
L-00-FM-01-0184,184,보통 부모들은 아이들이 자신의 말을 안들으면 뚜껑이 열리지.,Los padres se ponen como una fiera cuando los niños les desobedecen.,뚜껑이 열리다,ponerse como una fiera.,ambos
L-00-FM-01-0185,185,내 여자친구가 나랑 헤어지고 내 친한 친구랑 사귀었을때 억장이 무너졌다.,"Cuando mi novia me dejó y se fue con su mejor amigo, me rompió el corazón. ",억장이 무너졌다,rompió el corazón,ambos
L-00-FM-01-0186,186,네가 뭘 알아 이 애송이야.,"Tú qué sabrás, eres un pipiolo ",애송이,pipiolo,ambos
L-00-FM-01-0187,187,너 지금 내가 감기걸렸을때 차를 마셔야한다고 말하는거야? 그거 미신이야.,¿Dices que tengo que tomar el té de miel cuando estoy resfriada? Son cuentos de abuela.,미신,cuentos de abuela,ambos
L-00-FM-01-0188,188,그에게 우리의 얘기를 들려주며 우릴 도와주길 바랐지만 그 남자는 피도 눈물도 없더라.,Intentamos que nos ayudara contándole nuestra dura historia pero ese hombre tiene el corazón de piedra.,피도 눈물도 없다,tiene el corazón de piedra,ambos
L-00-FM-01-0189,189,우리 이모는 항상 우리 일들에 오지랖을 부린다.,Mi tía siempre mete las narices en nuestros asuntos.,오지랖을 부린다.,meter las narices,ambos
L-00-FM-01-0190,190,그 경기를 이기지 못하면 결승전에 가지 못하기 때문에 우리는 두시간 내내 손에 땀을 쥐었다.,Estuvimos dos horas con el corazón en un puño porque si no ganaramos no iríamos al final.,손에 땀을 쥐었다.,con el corazón en un puño,ambos
L-00-FM-01-0191,191,면접때문에 너무 긴장돼서 한주 내내 밤을 샜다.,"Como estaba muy nerviosa por la entrevista, pasé todas las noches de la semana en vela. ",밤을 새다,pasar las noches en vela,ambos
L-00-FM-01-0192,192,뜬구름 잡는 소리 하지 말고 좀 현실적이 되어봐.,"No hagas castillos en el aire, sé más realista. ",뜬구름 잡는,hagas castillos en el aire,ambos
L-00-FM-01-0193,193,나한테 뒤집어 씌우지 말고 네가 만든 문제는 너 혼자 해결해.,"A mí no me cargues el muerto, el problema lo causaste tú, soluciónalo tú solo. ",뒤집어 씌우지,cargar el muerto a alguien,ambos
L-00-FM-01-0194,194,어제 좋은 밤 보냈어? 잠자리도 가졌고?,¿Fue bien a cita anoche? ¿Os acostáis?,잠자리도 가졌고,Os acostáis,ambos
L-00-FM-01-0195,195,그는 여자친구가 바람피워서 헤어졌어.,Lo dejó con su novia porque ella le puso los cuernos.,바람 피워서,poner los cuernos,ambos
L-00-FM-01-0196,196,이번주 주말에 나 이사하는데 손을 좀 보태줄수 있어?,¿Me echas una mano con la mudanza este fin de semana?,손을 좀 보태다,echar una mano,ambos
L-00-FM-01-0197,197,나는 결국 내 반쪽을 찾은거 같아요.,Pienso que por fin he encontrado a mi media naranja.,반쪽을 찾다,encontrar a mi medida naranja,ambos
L-00-FM-01-0198,198,"그 시험은 걱정마, 그거 식은 죽먹기야. ","No te preocupes por esa prueba, es pan comido.",식은 죽먹기야,es pan comido,ambos
L-00-FM-01-0199,199,나는 너무 부끄러워서 얼굴이 뜨거웠다.,"Estaba tan avergonzada, que me puse roja como un tomate.",얼굴이 뜨거웠다.,roja como un tomate,ambos
L-00-FM-01-0200,200,그는 콧대가 높아서 Elena랑 사귀고 싶어하지 않는다.,"Él siempre mira por encima del hombro, por eso no quiere salir con Elena. ",콧대가 높아서,mira por encima del hombro,ambos
L-00-FM-01-0201,201,그 프로젝트로 너는 녹초가 되었구나.,Ese proyecto te ha dejado hecho polvo.,녹초가 되었구나,ha dejado hecho polvo,ambos
L-00-FM-01-0202,202,"다른 사람한테 부탁하는게 나을거야, 미겔은 진짜 낫놓고 기역자도 몰라. ","Mejor pídeselo a otra persona, Miguel no sabe hacer la o con un canuto",낫 놓고 기역자도 모른다.,hacer la O con un canuto,ambos
L-00-FM-01-0203,203,아니 새 직원은 어떻게 사장한테 그런 조언을 할수 있어? 진짜 새파랗게 어리네.,¿Cómo se atreve el empleado nuevo a dar consejos al jefe? ¡Es un yogurín!,새파랗게 어린 놈들,yogurín,ambos
L-00-FM-01-0204,204,그는 절도로 기소되었는데도 얼굴이 두꺼워서 아무렇지도 않아한다.,Le acusaron de robar pero no le importó porque es un caradura,얼굴이 두꺼워서,es un cara dura,ambos
L-00-FM-01-0205,205,"한 골 만 더, 진짜 승리가 우리 눈앞에 있어. ","Un gol más, casi podemos tocar la victoria con la mano. ",승리가 눈 앞에 있어.,tocar la victoria con la mano,ambos
