segmentid,index,한국어,스페인어,Note
M-TE-ST-01-0029,29,"- 여기 누워 봐 
- 젠장
- 이런 침대에 누워 봤어? 감방에는 이런 거 없을 텐데. 여기가 어딘지 보여? 우리 대박 친 거야. 진짜 대박 쳤다고.
- 착각하지 마. 대박은 무슨. 넌 할 줄 아는 일 있어? 제대로 된 일자리 가져 봤어? 이력서 내본 적 있느냐고. 말을 말자.
- 이력서? 뭐하러?
- 아빠를 감방에서 꺼내려고?
- 나라고 자랑스러운 줄 알아? 12년 동안 감방을 들락날락했지. 왠지 알아?
- 왜?
- 난 별로 똑똑하지 못하기 때문이야. 너도 마찬가지야. 하지만 이 일에는 대신 머리 써주는 사람이 있어. 우리가 허튼짓 안 하고 운이 좋다면여기서 나가서 발 뻗고 살 수 있어. 
- 허튼짓이라니?
- 얼른 담자. 가득 담아.","- Túmbate aquí, cojones. 
-Venga, coño.
-¿Cuándo has tenido tú una cama como esta?En el talego no la tenías. ¿Has visto dónde estamos, papa? Que somos muy grandes. Que somos muy grandes.
-Chaval, no te equivoques. Somos pequeños. ¿Tú sabes hacer algo?¿Has trabajado alguna vez?¿Has presentado el currículum en algún sitio?Ah. Venga, coño.
-El currículum. ¿El currículum para qué? ¿Para sacarte a ti de Alcalá Meco?
-¿Crees que me siento orgulloso de eso? 12 años de mi vida entrando y saliendo de la cárcel. ¿Y sabes por qué?
-¿Por qué?
-Porque no soy muy listo, hijo. Y tú tampoco. Pero en este golpe el cerebro lo pone otro. Y si tenemos suerte y no haces mucho el gilipollas, saldrás de aquí con la vida resuelta.
-No voy a hacer el gilipollas. 
-Venga, coño. Llena esto.",종이의 집 / La casa de Papel - S01 E01
M-TE-ST-01-0030,30,"- 왜 경보기가 울리지?
- 모르겠어. 그냥 저기 서 있는데 이유를 모르겠어
- 왜 달아나지 않지? 
- 나도 몰라
- 1분 40초 남았어
- 1분...
- 이름이 뭐랬지?
- 아르투로
- 아르투로? 
- 그래. 아무것도 못 봤어! 맹세코 아무것도 못 봤어. 아무것도 못봤다고!
- 나를 봐.
- 아무것도 못 봤다고. 
- 아르투로, 나를 봐.
- 싫어 
- 나를 보라니까. 이봐, 날 좀 봐. 어서. 이봐. 영화 좋아해?좋아하느냐고.
- 그래. 영화 진짜 좋아해.
- 공포 영화를 보면 있잖아. 맨 처음에 당신 같은 착한 남자가 나와. 딱 보면 '저 사람 죽겠네' 싶은 남자.
- 그래
- 그리고 진짜 그렇게 돼. 항상 죽고 말지. 장담하는데 당신 그러다 죽어.","- ¿Por qué ha saltado la alarma? 
- No lo sé. Están parados sin hacer nada, no lo entiendo.
- ¿Por qué no cogen el dinero y se van?
- ¡No lo sé!
- Un minuto, 40 segundos.
-Un minuto...
- ¿Cómo te llamas?
- Arturo.
- Arturo, ¿verdad?
- Sí. ¡No, no he visto nada! ¡No he visto nada, lo juro, no he visto nada, no he visto nada!
- Mírame. 
- No he visto nada.
- Venga, Arturo, mírame. 
- No.
- Mírame, mírame. Eh, eh, venga, va. Eh. ¿Te gusta el cine? ¿Te gusta?
- Soy... Soy muy aficionado.
- ¿Y tú te has dado cuenta que en las películas de miedo siempre sale uno al principio, así, majete como tú, que tú dices: ""Este huele a muerto"", y luego no falla? 
- No...
- Siempre cae. Arturo, créeme, hueles a muerto.",종이의 집 / La casa de Papel - S01 E01
M-TE-ST-01-0031,31,"금일 입소식은 
이쪽
실내 강당에서 진행하도록 하겠습니다. 
이병 장정 앞으로
앞사람이랑 간격 맞춥니다. 
팔 뻗습니다
부대 차렷
국기에 대하여 경례!","Entrad. 
La ceremonia tendrá lugar 
por aquí 
en el salón principal
Que se acerquen los reclutados. 
Colocaos en fila. 
Estirad los brazos. 
¡Atención¡
¡Saludad a la bandera nacional!",D.P S01 E01
M-TE-ST-01-0032,32,"- 이병 안준호. 
- 너는, 씹새끼야. 그냥 와꾸가 마음에 안 들어. 
- 위치로
- 네!
- 짜증나? 어?
- 이병 안준호!
- 짜증나?
- 이병 안준호!
- 왜? 한대 치려고?
- 아닙니다.","- Soldado An Jun-ho, señor. 
- Maldito cabrón. No me gusta tu aspecto. 
- Ponte firme. 
- ¡Sí, señor!
- ¿Te molesta?
- Soldado An Jun-ho, señor. 
- ¿Sí?
- Soldado An Jun-ho, señor.
- ¿Qué pasa? ¿Vas a pelear conmigo?
- No, señor. ",D.P S01 E01
M-TE-ST-01-0033,33,"- 아니 이 씨발새끼들은 다 감옥에를 가야돼. 
- 야
- 이러니 내가 억울하겠냐, 안하겠냐?
- 하, 우리 아빠는
- 자기 구청장을 한번 더 해야한다고, 한다고
- 그래서 내가
- 국방의 의무를
- 존나게 성실하게 수행하고 있다고. ","- Estos idiotas deberían estar en la cárcel. 
- Oye
- ¿Entiendes por qué estoy tan enfadado?
- Mi padre
- quería ser jefe de distrito una vez más. 
- Y por eso
- Estoy cumpliendo 
- Con mi maldito deber militar. ",D.P S01 E01
M-TE-ST-01-0034,34,"- 신우석 자살했다
- 모텔방에서 번개탄 피웠다고
- 소방차 출동하고 난리였는데 네새끼들은..
- 저기.. 죄송한데 불 좀… 
- 예, 가지세요 또 있어요. 
- 휴가 나오셨나 봐요. 
- 예, 뭐","- Shin Woo-suk se ha suicidado.
- Quemó carbón en su habitación. 
- Incluso fue el equipo de rescate y tú…
- Disculpe señor. ¿Me prestas el mechero?
- Puedes quedártelo. Tengo otro. 
- ¿Estás de permiso?
- Sí, supongo. ",D.P S01 E01
M-TE-ST-01-0035,35,"- 한번 뿌릴때마다 PX 가서 냉동 2천원어치
- 어떻게? 콜? 
- 콜, 콜 콜!
- 뿌려줘 뿌려줘.
- 역시 헌병은 달라. 
- 야 나, 나도 뿌려줘
- 그리고 나도 뿌려줘!","- Cada bote son 2000 Jones en comida de la tienda. 
- ¿Qué os parece? ¿Hecho?
- ¡Hecho! ¡Hecho!
- ¡Rocía! ¡Corre!
- La Policía Militar sabe lo que necesitamos. 
- Vamos, échame. 
- Échame a mí después. ",D.P S01 E02
M-TE-ST-01-0036,36,"- 그러니까 그 군인이 잡으라는 탈영병은 안 잡고 가라오케에서 술을 마셨는데
- 그 사이에 탈영한 애는 죽었고
- 그것도 모자라서 후임이 선임을 쥐어팼다? 
- 네 그렇습니다. 
- 그럼 일단 걔 보직 해제부터 시키세요. 
- 예. 
- 영창에서 퇴창하는대로 바로…","- Así que ese soldado fue a beber a un karaoke en vez de coger al desertor. 
- Y mientras, ¿el desertor murió?
- Y un subalterno pegó a su superior? 
- Así es señor. 
- Entonces haga que lo expulsen.
- Sí, señor. 
- Lo haré cuando salga de la prisión. ",D.P S01 E02
M-TE-ST-01-0037,37,"- 어이, 민간인 아저씨
- 고참이 아주 개좆으로 보이지?
- 모르셨습니까?
- 말년은 민간인이라 고참 대접 없지 말입니다. 
- 쌍년들이 아주 쌍으로 지랄이네
- 한마디만 더 하면 아가리 찢는다.
- 한마디
- 개새끼가","- Mira, civil. 
- ¿No respetas a tus superiores?
- ¿No lo sabías?
- Cuando estás a punto de licenciarte, eres como un civil. 
- Los dos idiotas me estáis cabreando. 
- Otra palabra y te parto la cara. 
- Otra palabra
- Serás gilipollas. ",D.P S01 E02
M-TE-ST-01-0038,38,"- 그리고 내무반 애들이랑 엮이지 마. 
- 남이야 남
- 우린 우리 할것만 잘하면 돼
- 탈영병 잡는거
- 예 알겠습니다. 
- 여기 얼마나 평화롭고 좋니?
- 괴롭히는 사람도 없고, 어?","- Y no te mezcles con esos en los barracones. 
- No son como nosotros.
- Debemos centrarnos en el trabajo:
- Atrapar a soldados desertores. 
- Sí señor. 
- ¿A que esto es tranquilo?
- Aquí nadie te molesta. ",D.P S01 E02
M-TE-ST-01-0039,39,"- 네, 봉천동에 사시는 안준호 이병이 신청하신 환경 호르몬이 없는 라면
- 끓여드릴게요.
- 너 형제 있어?
- 동생 있습니다.
- 응, 여동생?
- 안 이쁩니다. 
- 나 안물어봤어. 
- 부모님은 잘 계시고?
- 그냥 계십니다. 
- 너는 고참이 얘기하는데 왜 성의없이 이렇게 대답을 해?
- 밖에 나오면 형이라고…","- Fídeos instantáneos si disyuntores endocrinos como pidió el soldado Ah de Bongcheon-dong. 
- Ya casi está. Voy enseguida. 
- ¿Tienes hermanos?
- Tengo una hermana pequeña. 
- ¿Una hermana pequeña?
- No es guapa. 
- No he preguntado. 
- ¿Tus padres están bien?
- Supongo que sí. 
- ¿Por qué respondes con ese tono falso a tu superior?
- Me dijiste que olvidara las formas. ",D.P S01 E03
M-TE-ST-01-0040,40,"- 면목 없습니다. 
- 애들 바로 복귀시키고 시정하도록 하겠습니다. 
- 아 첫인상부터 좀 불안하더라니 진짜, 씨.
- 지금 자기가 뭘 잘못한 건지를 알아?
- 예? 
- 어이, 박 중사요. 
- 보직이 군탈 담당인데, 탈영병 잡는게 그렇게 어려워? 
- 아니 실적 높이라고 멍석까지 깔아줬는데… 왜 똥을 싸지르시냐고 이 박 중사님아…","- Lo siento, señor. 
- Les diré que vuelvan y arreglen las cosas.
- Vaya, con razón me cayó usted bien desde el principio. 
- ¿De verdad no sabe lo que hizo mal?
- ¿Disculpe?
- Sargento Park. 
- ¿Por qué no puede hacer bien su trabajo y atrapar desertores?
- Quise ayudarle para que ganara más puntos, pero ¿por qué hizo un desastre? ",D.P S01 E03
M-TE-ST-01-0041,41,"- 근데 너 얼굴은 또 왜 그래? 너 인제 싸움질도 해?
- 아이, 됐고 상우는 요즘 뭐 하나? 회사 잘 다녀요? 걔는 맨날 바빠
- 지금도 외국에 출장 갔다
- 에이, 싸가지 없는 새끼. 상우 집에 오면 나한테 연락 좀 하라고 그래요. 어머니도 알지? 이 새끼 서울대 붙은 거 다 나 때문이야. 내가 어렸을 때부터 학교도 데리고 다녔잖아. 근데 자식 대학 가고, 취직하고 나한테 술을 한번 안 사. 
- 쓸데없는 소리 하지 말고 너 이거 가지고 얼른 집에 가. 또 술집으로 새지 말고","- ¿Y qué te pasó en la cara? ¿Ahora peleas?
- Oye, olvídalo. ¿Qué estará haciendo Sang-woo ahora ¿Cómo le va en el trabajo? Siempre está ocupado.
- Está en un viaje de negocios.
- Ese mocoso desagradecido. Dile que me llame cuando llegue a casa. Recuerdas, ¿no? Gracias a mí, entró a la Universidad de Seúl. Lo llevaba a la escuela cuando éramos niños. Fue a la universidad y consiguió trabajo gracias a mí, pero nunca me invitó un trago.
- Deja de decir tonterías. Toma esto y vete a casa. No vayas a un bar. Derecho a casa.",
M-TE-ST-01-0042,42,"- 야! 널 여기서 다 만나네, 어? 이년 눈깔 봐라, 성질은 여전하네, 
- 어? 하긴 네가 몇 대 맞는다고, 뭐 쫄 캐릭터는 아니지 오갈 데 없는 년 먹여 주고 재워 주고 기술까지 가르쳐 줬더니 내 뒤통수를 쳐?
- 너한테 빚진 거보다 갖다 바친 게 더 많아
- 그렇게 당당한 년이 왜 도망을 쳤을까?
- 도망이 아니라 독립한 것뿐이야
- 독립?
- 하, 아이씨
- 독립을 해? 네가 뭐, 유관순이냐? 그럼 나가서 태극기라도 흔들든가
- 아, 맞다 너 북한 년이니까 인공기 흔들어야지, 응?
","- ¡Oye! Cielos. No puedo creer que te haya encontrado aquí. Mira esos ojos. Tu carácter no ha cambiado.
- Pero, claro, no eres de las que retroceden después de unos golpes. Te alimenté, te di un techo, hasta te enseñé mis habilidades, ¿y me traicionas?
- Ya me quitaste más de lo que te debo.
- Si eso es cierto, ¿por qué huiste?
- No me escapé. Me independicé.
- ¿Te independizaste? 
- Ja…
- ¿Te independizaste? ¿Eres Yu Gwan-sun o qué? Sal a ondear una bandera.
- Claro. Eres del norte, así que ondea la bandera de Corea del Norte.
",
M-TE-ST-01-0043,43,"- 선생님 제가요 애가 있거든요
- 아직 이름도 못 지어서 출생 신고도 못 했는데요
- 저 좀 내보내 주세요
- 선생님 잘못했어요 제발, 제발 살려 주세요. 
- 돈은 어떻게든 갚을게요. 제발 살려 주세요
- 저도요, 저도 그만하고 싶어요. 내보내 주세요
- 제발 살려 주세요
- 뭔가 오해가 있는 거 같습니다. 저희는 여러분을 해치거나 돈을 받아 내려는 게 아닙니다. ","- ¡Señor! Tengo un hijo.
- No he registrado su nacimiento porque aún no le he puesto nombre. 
- Dejad que me vaya.
- Lo siento mucho, señor. Por favor. Perdonadme la vida.
- Yo también pagaré mis deudas. Perdonadme.
- Y a mí.  Quiero parar aquí.
- Perdonadme. Dejadme ir a casa.
- ¡Perdonadme la vida!
- Parece haber un malentendido. No queremos haceros daño ni cobrar vuestras deudas.",
M-TE-ST-01-0044,44,이렇게 여러분과 헤어지게 돼서 저희도 안타깝습니다. 하지만 저희는 여러분을 위한 기회의 문을 완전히 닫지 않겠습니다. 여러분의 다수가 게임의 재개를 원하시면 언제든 게임을 다시 시작하겠습니다. 그럼 안녕히 돌아가십시오.,"- Es una pena que debamos despedirnos así. Sin embargo, no cerraremos del todo la puerta de esta oportunidad. Si la mayoría desea volver a participar, reiniciaremos el juego. Entonces, adiós.",
M-TE-ST-01-0045,45,"- 너 빚 때문에 그래? 씨, 야. 쌍문동의 자랑 쌍문동이 낳고 기른 천재 서울대 경영학과 수석 입학 조상우가 뭐가 걱정이야? 다시 벌면 되지. 엄마한테 가서 다 말씀드리고 새로 시작해.
- 다시 벌어? 60억을?
- 60억? 아, 6억이라며?
- 그놈들도 모르는 게 있어
- 아니, 너 증권 회사 다닌다더니 주식을 한 거야?
- 주식은 그렇게 크지 않고 선물을 했어
- 선물? 선물로 그 돈을 써? 아, 누구 선물을 ;얼마나 비싼 걸 산 거야? 여자 생겼냐?
- 그런 선물이 아니고 그런 게 있어.","- ¿Es por las deudas? Oye, eres el orgullo de Ssangmun-dong, el genio nacido y criado aquí. El mejor alumno de la Escuela de Negocios. No te preocupes. Conseguirás el dinero. Habla con tu madre y empieza de nuevo.
- ¿Cómo voy a ganar…seis mil millones?
- ¿Seis mil millones? Creía que eran 600.
- Hay cosas que no saben.
- ¿Invertiste en acciones trabajando en la firma de inversiones?
- Las acciones no eran tantas Fue también en futuros.
- ¿Futuros? ¿Tanto apostaste por tu futuro? ¿A qué se puede apostar tanto dinero? ¿Te echaste novia?
- No es ese tipo de ""futuro"". No importa.",
M-TE-ST-01-0046,46,"- 사장님, 밀린 월급 주세요
- 아유, 야 내가 그거 몇 번 말하냐? 지금 돈이 없어. 너도 알다시피 회사 사정이, 인마.
- 저 손가락 치료 잘 못 받았어요. 병원비 제대로 못 받았어요. 하, 나 이제 고향 갈 거예요. 제발요, 돈 주세요. 
- 야, 이씨 밖에 있는 애들한테 물어봐. 걔들은 월급 받았는가. 수금이 돼야 돈을 주지, 이 새끼야! 야, 나도 아픈 데가 한두 군데가 아니야. 근데 병원에를 못 가, 돈이 없어서
- 사장님 돈 준다고 했잖아요!","- Señor, págueme el todo lo que me debe.
- ¿Cuántas veces tengo que decírtelo? Ahora no puedo. El negocio no va bien… 
- Podrían haberme tratado el dedo. Pero no podía pagar el hospital. Me voy a casa. Deme mi dinero.
- Joder. Pregunta a los demás si les he pagado. ¡No puedo pagar si no me pagan! A mí me duele todo el cuerpo y no voy al médico porque no tengo dinero.
- Me dijo que me pagaría.",
M-TE-ST-01-0047,47,"- 니 사정은 내가 아주 잘 알지만서두. 고조, 그게 맘먹고 튄 브로커들을 찾을 방법이 없디. 당한 사람이 너뿐이 아니야. 몇 사람은 고것덜 잡갔다고 단둥까지 직접 갔다가 오히려 공안한테 걸려서 북으로 다시 끌려갈 뻔했어.
- 그럼 다른 방법은 없는 건가요?
- 다시 다른 브로커를 고용해야디. 근데 그게 니도 알갔지만 또 새로 다시 시작해야 되니까니.
- 얼만데요?
- 일단 니네 부모 소재 파악부터 다시 해야 되고. 씁, 요새는 고 국경 경비가 살벌해져서 강 건너 주는 비용도 마이 올랐고…
- 그래서 얼만데?
- 최소한 4천 이상은 있어야…","- Entiendo muy bien tu situación. Pero, ya sabes, es imposible encontrar a unos agentes que huyen con dinero. No eres la única víctima. Algunas de las víctimas fueron hasta Dandong para atraparlos, pero la Policía china las interceptó y casi los devuelven al norte.
- Entonces, ¿hay alguna otra manera? 
- Tendrás que contratar a otro agente. Pero, como sabes, tendrás que empezar de cero.
- ¿Cuánto?
- Primero, tendrán que volver a localizar a tus padres. Y han reforzado la seguridad en la frontera y el precio por ayudarlos a cruzar el río se ha disparado.
- ¿Cuánto me costaría?
- Por lo menos… unos 40 millones de wones.
",
M-TE-ST-01-0048,48,"- 혹시 조상우 씨 어머니 되십니까?
- 예, 조상우 우리 아들 맞는데요.
- 조상우 씨 지금 어디 있습니까?
- 미국 출장 갔는데요. 왜 그러세요?
- 어, 경찰입니다. 어, 조상우 씨께서 횡령과 사문서 위조, 특정 경제 범죄 가중 처벌법 위반 혐의로 체포 영장이 발부됐습니다.
- 예? 누굴 체포해요? 아유, 형사님들 좀 뭔가 착오가 있는가 본데 저, 우리 아들은 뭘 잘못하고 그럴 애가 아니에요. 
- 아드님하고 연락되시면은 경찰서로 자진 출두 하라고 좀 전해 주십시오. 계속 도주하시면 나중에 재판에서도 불리해집니다.","- Es la madre del señor Cho Sang-woo?
- Sí, Cho Sang-woo es mi hijo.
- ¿Sabe dónde se encuentra?
- Está de viaje en Estados Unidos. ¿Por qué lo buscan?
- Somos policías.
- Tenemos una orden de detención del señor Cho Sang-woo por malversación, falsificación de documentos y otros delitos económicos.<
- ¿Cómo? ¿Detener a quién?
- Ay, señor. Debe de haber un malentendido, inspectores. Mi hijo nunca haría nada ilegal.
- Si habla con él, dígale que se presente voluntariamente.Si sigue huyendo así, tendrá consecuencias en el juicio.",
M-TE-ST-01-0049,49,"- 이 돈 어디서 났어? 알리, 이 돈 어디서 났어?
- 지금부터 내 말 잘 들어. 이거 가지고 최대한 빠른 비행기표를 사서 당신이랑 아이는 먼저 고향으로 돌아가.
- 당신은?
- 둘이 먼저 가 있어. 난 일 끝나는 대로 바로 갈게
- 당신 무슨 일 있지? 그렇지?
- 지금은 아무것도 묻지 마. 오늘 당장 짐을 싸서 여기서 나가 내 상황을 이해해 주길 바라. 사랑해, 당신도 아이도.","- ¿De dónde lo has sacado? Ali, ¿de dónde es este dinero?
- Escucha bien. Compra billetes para el primer vuelo para ti y el niño.
- ¿Y tú?
- Vosotros iréis primero. Yo iré en cuanto termine mi trabajo.
- Te ha pasado algo, ¿no?
- No preguntes nada por ahora. Haz las maletas y vete de inmediato. Espero que lo entiendas. Os quiero mucho.",
M-TE-ST-01-0050,50,"- 나… 다시 가기로 했어.
- 어딜요? 거기를요?
- 어차피 얼마 못 살 텐데 이렇게 죽을 날만 기다리다가 가고 싶지 않아. 혹시 알아? 거기서 내가 1등 할지. 그때 그 '무궁화꽃'도 자네보다 내가 먼저 들어왔어.
- 아이, 그래도 거기는…
- 밖에 나와 보니까 그 사람들 말이 다 맞더라고. 여기가 더 지옥이야.","- He… decidido volver allí.
- ¿Adónde? ¿Al juego?<
- Verás. No me queda mucho tiempo. No quiero… quedarme esperando a la muerte. Nunca se sabe. Podría acabar ganando. Cuando jugamos a luz roja, luz verde, llegué a la meta antes que tú.
- Pero ese lugar es…
- Después de salir, me di cuenta de que todo lo que decían era verdad. La vida aquí es una tortura aún peor.",
M-TE-WT-01-0051,51,"- 다니엘, 오늘 네가 보게 될 것은 아무에게도 얘기해선 안 된다."" 아버지가 주의를 주었다. ""네 친구 토마스에게도, 그 누구에게도 말이다.""
- ""엄마한테도요?"" 내가 나지막이 물었다. 아버지는 평생 당신을 그림자처럼 쫓아다닌 그 슬픈 미소 뒤로 숨으며 한숨을 쉬었다.
- ""당연히 되고말고."" 아버지는 시선을 떨어뜨리며 대답했다. ""우린 엄마하고는 비밀이 없잖니. 엄마한테는 뭐든지 말해도 된단다."" ","—Daniel, lo que vas a ver hoy no se lo puedes contar a nadie —advirtió mi padre—. Ni a tu amigo Tomás. A nadie.
—¿Ni siquiera a mamá? —inquirí yo, a media voz. Mi padre suspiró, amparado en aquella sonrisa triste que le perseguía
como una sombra por la vida.
—Claro que sí —respondió cabizbajo—. Con ella no tenemos secretos. A ella puedes contárselo todo. ",
M-TE-WT-01-0052,52,우리가 현관문을 나셨을 때 거리는 안개와 야경꾼들 사이에서 아직 깨어나지 못하고 있었다. 마침내 도시가 기지개를 커며 수채화 같은 장막을 벗어던지자. 람블라스 거리의 가로등들이 연방 깜박이면서 안개 낀 가로를 비추었다. 아르코 델 테아트로가에 이르러 파란 바다 안개 같은 둥근 아치 지붕을 통과한 뒤 우리는 라발 지구를 향해 계속 걸었다.,"Las calles aún languidecían entre neblinas y serenos cuando salimos al portal Las farolas de las Ramblas dibujaban una avenida de vapor, parpadeando al tiempo que la ciudad se desperezaba y se desprendía de su disfraz de acuarela. Al llegar a la calle Arco del Teatro nos aventuramos camino del Raval bajo la arcada que prometía una bóveda de bruma azul. ",
M-TE-WT-01-0053,53,그날 오후 산타 아나 가의 집으로 돌아온 나는 내 방에 틀어박혀 새로운 친구의 첫 줄을 읽기로 마음먹었다. 미처 깨닫기도 전에 나는 어찌할 수 없이 그 책 속으로 빠져들었다. 그 소설은 친아버지를 찾아 나선 남자의 이야기였다. 친아버지를 한 번도 본 적 없는 그는 어머니가 임종하며 남긴 마지막 말 몇 마디로 아버지의 존재를 알게 되었던 것이다.,"Aquella tarde, de vuelta en el piso de la calle Santa Ana, me refugié en mi habitación y decidí leer las primeras líneas de mi nuevo amigo. Antes de darme cuenta, me había caído dentro sin remedio. La novela relataba la historia de un hombre en busca de su verdadero padre, al que nunca había llegado a conocer y cuya existencia sólo descubría merced a las últimas palabras que pronunciaba su madre en su lecho de muerte. ",
M-TE-WT-01-0054,54,"여길 보면, 이 책은 1936년 6월에 바르셀로나의 카베스타니 에디토레스가 2,500부를 출판했을 때의 간행본이구나.""
""그 출판사를 아세요?""
""몇 년 전에 문을 닫았지. 그런데 초판은 이게 아니구나. 1935년 11월에 파리에서 간행되었어. 출판사는 '갈리아노 & 뇌발'이고. 못 들어본 곳인데.""
""그럼, 그 책은 번역본인가요?"" 나는 헷갈려하며 물었다.
""그건 아니야. 여기 쓰여 있는 걸로는 이 텍스트가 원본이다.""
""스페인어로 쓰인 책이 프랑스에서 처음 출판됐다고요?""
""처음은 아닐 거다. 그 시절에는 말이다."" 아버지가 덧붙였다.
""바르셀로가 뭘 좀 알지도 모르는데•••·•.""","—Según esto, este ejemplar forma parte de una edición de dos mil quinientos ejemplares impresa en Barcelona, por Cabestany Editores, en diciembre de 1935.
—¿Conoces esa editorial?
—Cerró hace años. Pero la edición original no es ésta, sino otra de noviembre del mismo año, pero impresa en París... La editorial es Galliano & Neuval. No me suena.
—Entonces, ¿el libro es una traducción? —pregunté, desconcertado.
—No menciona que lo sea. Por lo que aquí se ve, el texto es original.
—¿Un libro en castellano, editado primero en Francia?
—No será la primera vez, con los tiempos que corren —adujo mi padre—.A lo mejor Barceló nos puede ayudar..",
M-TE-WT-01-0055,55,"
""얘야, 이 책 어디서 났니?""
""비밀이에요."" 내가 대답했다. 아버지는 속으로 미소 짓고 있으리라.
바르셀로가 이맛살을 찌푸리며 아버지에게로 시선을 돌렸다.
""셈페레, 자네의 일이고 또 자네를 존경하는 내 마음과 우리를 형제처럼 묶어준 깊고 오랜 우정에 대한 경의도 있고 하니 이 책을 사십 두로*로 하고 얘기를 끝내세나.""
""홍정은 내 아들과 해야 하네."" 아버지가 말했다. ""책은 이 아이 거니까.""
바르셀로는 내게 늑대 같은 미소를 보냈다.
""얘야, 어떻게 하겠니? 첫 거래로 사십 두로는 나쁘지 않거든.... 셈페레. 자네 아들 이 사업에서 크게 성공하겠는걸.""
모임 참석자들이 그를 보고 웃었다. 바르셀로는 가족 지갑을 꺼내며 만족스럽게 나를 바라보았다. 그가 당시로는 대단한 액수였던 사십 두로를 세어 내게 내밀었다. 나는 말없이 고개를 저었다. 바르셀로가 눈살을 찌푸렸다.
""탐욕이란 죽을죄까지는 아니지만 아주 추악한 죄악이란다. 알지?"" 그가 말했다. ""좋다. 육십 두로면 은행에 보관해야 될 정 도로 큰돈이야. 네 나이엔 이제 장래를 생각해야만 하지."" 나는 다시 고개를 저었다. 바르셀로는 외알 안경 너머로 아버지에게 약이 오른 시선을 던졌다.
""날 보진 말게나."" 아버지가 말했다. ""난 그저 여기까지 동행 한 것뿐이라네."" 바르셀로는 한숨을 쉬고 나를 찬찬히 살펴보았다.
""어디 보자. 얘야, 네가 원하는 게 뭐냐?""
""홀리안 카락스가 누구고, 또 그가 쓴 다른 작품들을 어디 가면 찾을 수 있는지 알고 싶어요."" 바르셀로는 살짝 웃고는 자기 상대를 다시 보고 지갑을 도로 넣었다.
""이야, 학자 났군. 셈페레, 자네 이 아이에게 뭘 먹이는 건가?"" 그가 농을 걸었다.
바르셀로는 나를 향해 은밀하게 몸을 기울였는데 그 잠시 동안 나는 그의 시선에서 전에는 없었던 일종의 경의를 희미하게 본 듯했다.
""이렇게 하자."" 그가 내게 말했다. ""내일, 일요일 오후에 아테 네오* 도서관으로 와서 날 찾아라. 다시 잘 조사해보게 네 책도 가져와. 그러면 홀리안 카락스에 대해  가 아는 걸 얘기해주마. 키드 프로 쿠오지.""
""키드 프로 쿠오요?""","—¿Dónde lo has encontrado, chavalín?
—Es un secreto —repliqué, sabiendo que mi padre debía de estar sonriendo por dentro.
Barceló frunció el ceño y desvió la mirada hacia mi padre.
—Amigo Sempere, porque es usted y por todo el aprecio que le tengo y en honor a la larga y profunda amistad que nos une como a hermanos, dejémoslo en cuarenta duros y no se hable más.
—Eso lo va a tener que discutir con mi hijo —adujo mi padre—. El libro es suyo.
Barceló me ofreció una sonrisa lobuna.
—¿Qué me dices, muchachete? Cuarenta duros no está mal para una primera venta... Sempere, este chico suyo hará carrera en este negocio.
Los contertulios le rieron la gracia. Barceló me miró complacido, sacando su billetero de piel. Contó los cuarenta duros, que para aquel entonces eran toda una fortuna, y me los tendió. Yo me limité a negar en silencio. Barceló frunció el ceño.
—Mira que la codicia es pecado mortal de necesidad, ¿eh? —adujo—. Venga, sesenta duros y te abres una cartilla de ahorro, que a tu edad ya hay
que pensar en el futuro.
Negué de nuevo. Barceló le lanzó una mirada airada a mi padre a través de su monóculo.
—A mí no me mire —dijo mi padre—. Yo aquí sólo vengo de acompañarte.
Barceló suspiró y me observó detenidamente. A ver, niño, pero ¿tú qué es lo que quieres?
—Lo que quiero es saber quién es Julián Carax, y dónde puedo encontrar otros libros que haya escrito.
Barceló rió por lo bajo y enfundó de nuevo su billetera, reconsiderando a su adversario.
—Vaya, un académico. Sempere, pero ¿qué le da usted de comer a este crío? —bromeó.
El librero se inclinó hacia mí con tono confidencial y, por un instante, me pareció entrever en su mirada un cierto respeto que no había estado allí
momentos atrás.
—Haremos un trato —me dijo—. Mañana domingo, por la tarde, te pasas por la biblioteca del Ateneo y preguntas por mí. Tú te traes tu libro para que lo pueda examinar bien, y yo te cuento lo que sé de Julián Carax. Quid pro quo.
—¿Quid pro qué? ",
