sentenceid,index,KO,SP,KO_word,SP_word
M-FO-DE-01-0176,176,많은 사람들이 휴가 후 증후군을 겪고 있다.,Ahora los niños sufren del síndrome postvacacional.,휴가 후,postvacacional
M-FO-DE-01-0177,177,우리의 목표는 초학문적 교육을 성취하는 것이다.,Nuestro objetivo es lograr una educación transdisciplinar.,초학문적,transdisciplinar
M-FO-DE-01-0178,178,많은 사람들이 지금 이 나라가 재산업화를 겪고 있다고 말한다.,Mucha gente dice que ahora este país está experimentando una reindustrialización.,재산업화,reindustrialización
M-FO-DE-01-0179,179,Gran Teatre del Liceu는 설립된지 150주년이 되었지만 재개장은 불가능하다.,"Se cumplió en este año el 150 aniversario de la fundación del Gran Teatre del Liceu, pero no fue posible su reinauguración.",재개장,reinauguración
M-FO-DE-01-0180,180,우리는 정보과잉 사회에 살고 있기 때문에 좋은 정보를 고르는 교육이 필요하다.,"Como vivimos en la sociedad de sobreinformación, es necesario enseñar a elegir buenas fuentes de información.",정보과잉,sobreinformación
M-FO-DE-01-0181,181,지금 한국의 가장 큰 문제는 인구감소이다.,Ahora un problema muy grave de Corea es subpoblación.,인구감소,subpoblación
M-FO-DE-01-0182,182,보통 대학원생들은 그들의 세부전공에 더 집중한다.,Normalmente los estudiantes de posgrado se centran más en su subespecialidad.,세부전공,subespecialidad
M-FO-DE-01-0183,183,시는 다양한 협회의 회원들을 통합하는 프로젝트의 보조금을 늘렸다.,El ayuntamiento ha aumentado las subvenciones a proyectos interasociativos.,다양현 협회의 회원들을 통합하는,interasociativos
M-FO-DE-01-0184,184,그러나 그는 자신의 주의 산만함을 자책하면서 그 길을 계속 따라가는 것은 편하게 느끼지 않았습니다.,"Pero no le convenía seguir por ese camino, autoacusándose de distracciones. ",자책하면서,autoacusándose
M-FO-DE-01-0185,185,그는 이 텍스트를 그녀와 Pedro가 함께 편집했다.,Coeditó el texto con ella y Pedro.,함께 편집했다,coeditó
M-FO-DE-01-0186,186,IMF는 이 차관에 공동 출자자로 참여하지 않았다.,El FMI no participará como cofinanciador del préstamo.,공동 출자자,confinanciador
M-FO-DE-01-0187,187,이 기계의 공동 개발자들 사이에 판매 방법에 대한 큰 논쟁이 있다.,Hay un gran debate sobre la manera de vender entre los coinventores de esta maquina.,공동 개발자들,coinventores
M-FO-DE-01-0188,188,이 강의는 단일테마만 다뤄서 너무 지루하다.,Esta lectura es muy aburrida porque trata de un monotema.,단일 테마,monotema
M-FO-DE-01-0189,189,많은 사람들이 이번 올림픽에 더블메달리스트가 없는 것이 이상하다고 말한다.,Mucha gente dice que es muy raro que no haya ningún bimedallista en esta Olimpiada.,더블메달리스트,bimedallista
M-FO-DE-01-0190,190,이 레스토랑은 미슐랭 3스타여서 예약하기 너무 어렵다.,"Este restaurate es triestrellado, por eso es muy difícil reservar. ",미슐랭 3스타,triestrellado
M-FO-DE-01-0191,191,우리가 여러 위험을 감수해야하기 때문에 나는 이 프로젝트가 맘에 들지 않는다.,No me gusta este proyecto porque tenemos que correr multiriesgo.,여러 위험,multiriesgo
M-FO-DE-01-0192,192,마요르카에서 다양한 형태의 가족을 위한 바다가 보이는 환상적인 숙소를 찾아봐라.,Descubre esta espectacular vivienda plurifamiliar en Mallorca con vistas al mar.,다양한 형태의 가족,plurifamiliar
M-FO-DE-01-0193,193,이 여성분은 아주 친절하다.,Esta señora es superagradable.,아주 친절하다,superagradable
M-FO-DE-01-0194,194,이 두명의 보컬리스트는 정말 슈퍼콤보이다.,Los dos vocalistas son supercombo.,슈퍼콤보,supercombo
M-FO-DE-01-0195,195,우리 엄마는 두개의 직업을 가지고 있어요. 그녀는 정말 슈퍼우먼이에요.,Mi madre tiene dos profesiones. Ella es una supermujer.,슈퍼우먼,supermujer
M-FO-DE-01-0196,196,"이 계약에 따르면, 선수의 초과 활동은 금지되어 있다. ","Según el contrato, la ultraactividad del jugador está prohibida. ",초과 활동,ultraactividad
M-FO-DE-01-0197,197,나는 너무 더워서 엄청 차가운 음료가 필요해.,"Tengo mucho calor, por eso necesito una bebida ultrafría. ",엄청 차가운,ultrafría
M-FO-DE-01-0198,198,오염으로 인해 이 지역은 거의 사막이다.,Por la contaminación esta zona es un semidesierto.,거의 사막,semidesierto
M-FO-DE-01-0199,199,비료 제작 최적화 테스트는 준산업 규모로 수행될 것입니다.,Se realizarán ensayos de optimización del compostaje a escala semi-industrial.,준산업,semi-industrial
M-FO-DE-01-0200,200,결함이 있지만 이 상품은 거의 새 상품이다.,Este producto es seminuevo aunque tiene un defecto.,거의 새,seminuevo
M-FO-DE-01-0201,201,미래에 우리는 초이동과 탈지역의 사회에서 살 것이다.,"En el futuro, viviremos en una sociedad de hipermovilidad y deslocalización.",초이동과 탈지역,hipermovilidad y deslocalización
M-FO-DE-01-0202,202,이 나라는 많은 감염자들로 인한 초감염 상황에 있다.,Este país está inmerso en una situación hiperendémica con muchos contagiados.,초감염,hiperendémica
M-FO-DE-01-0203,203,회의에서 결정사항에 반하는 내용을 얘기하지 마.,No comuniques la contradecisión en el congreso.,결정사항에 반하는 내용,contradecisión
M-FO-DE-01-0204,204,이 스페인정부 정책의 목적은 개개인의 빚 탕감이다.,La meta de esta medida del gobierno español es el desendeudamiento de los particulares.,빚 탕감,desendeudamiento
M-FO-DE-01-0205,205,우리 회사의 상황을 고려하면 그의 제안은 거절할 수 없습니다.,Su propuesta es irrechazable considerando la situación de nuestra empresa.,거절할 수 없습니다,irrechazable
M-FO-DE-01-0206,206,정부를 향한 비난으로 가득찬 담화가 발표되었습니다.,Pronunció un discurso lleno de descaliticativos hacia el gobierno.,자질이 갖춰져 있지 않다,descalificativos
M-FO-DE-01-0207,207,내 생각에 그 선수는 되게 재능있었는데 지금은 아니에요. 사람들은 그가 전 챔피언이었다고 말해요.,Creo que este jugador era muy talentoso pero ahora no. Todo el mundo dice que es el exnúmero uno.,전 챔피언,exnúmero uno.
M-FO-DE-01-0208,208,나는 지금 의지가 충만해. 이기고 싶어.,Estoy extramotivado. Quiero ganar.,의지가 충만해,extramotivado
M-FO-DE-01-0209,209,인터넷에서 창조된 신언어가 많다.,Hay mucha neolengua creada en el internet.,신 언어,neolengua
M-FO-CO-01-0210,210,Nature Fire은 스페인에서 다양한 연료를 동시에 연소하는 연소기 공장의 선두주자입니다.,Natural Fire es pionera en la fabricación de quemadores policombustibles en España.,다양한 연료,policombustibles
M-FO-CO-01-0211,211,우리 동네에는 여름에 새벽 4시까지 시내에서 해변으로 가는 야간버스가 있다.,En mi pueblo en verano hay un buhobús para ir del centro a las playas hasta las 4 de la mañana,야간버스,buhobús
M-FO-CO-01-0212,212,많은 옷 회사들은 철마다 새로운 스타일을 내놓기 위해 유행에 민감한 사람을 채용한다.,Muchas firmas de ropa contratan a cazatendencias para renovar la temporada.,유행에 민감한 사람,cazatendencias
M-FO-CO-01-0111,213,"축제에서는 음악, 간식 그리고 페이스페인팅이 있을거에요. ","En la fiesta habrá música, merienda y pintacaras.",페이스페인팅,pintacaras
M-FO-CO-01-0214,214,"그녀를 조심해, 그녀는 꽃뱀이거든.","Ten cuidado con ella, es una devorahombres.",꽃뱀,devorahombres
M-FO-CO-01-0215,215,날씬해지는 것에 집착하는 많은 여자들이 지방을 태우는 약들을 먹는다.,Muchas mujeres obsesionadas con adelgazar recurren a pastillas quema grasas.,지방을 태우는,quema grasas
M-FO-CO-01-0216,216,당신은 일반 승강기를 이용해주시기 바랍니다. 이것은 환자들을 위한 침상 전용 승강기입니다.,"usted suba por el ascensor normal, por favor, esto es un montacamillas, solo para los enfermeros",침상 전용 승강기,montacamillas
M-FO-CO-01-0217,217,불쌍한 사람.. 완전 아첨꾼이네... 그는 항상 Ana를 기쁘게 하려고 노력하지만 Ana는 관심을 전혀 주지 않아.,"Pobrecito, es un pagafantas...  está siempre intentando agradar a Ana pero ella no le hace caso.",아첨꾼,pagafantas
M-FO-CO-01-0218,218,어느 날 엄마가 좀비로 변한다면 엄마를 거부하시겠습니까? 나는 잃어버린 원인을 찾아 그에 관한 모든것을 옹호하고 그를 관용하는 관용하는 사람들로부터 질문을 받았습니다.,"¿Rechazarías a tu madre si se convierte un día en un zombi? Me preguntan quienes presumen de tolerarlos, esos defiendelotodo buscando causas perdidas.",모든것을 옹호하고,defiendelotodo
M-FO-CO-01-0219,219,약물의존성은 약물을 자주 사용함에 따라 일어나는 병리학적 현상입니다.,La dragodependencia es una patologia causada por el uso frecuente de drogas.,약물의존성,drogadependencia
M-FO-CO-01-0220,220,나는 내 오빠한테 턴테이블을 선물하고 싶다.,Quiero regalarle un giradisco a mi hermano.,턴테이블,giradisco
M-FO-CO-01-0221,221,우리 할아버지는 우리에게 너무나도 사랑이 넘치신다.,Mi abuelo es muy amoroso con nosotros.,사랑이 넘치신다,amoroso
M-FO-CO-01-0222,222,너는 정말 칭얼대는 아이구나.,Eres un niño muy quejoso.,칭얼대는,quejoso
M-FO-CO-01-0223,223,아마존에 방문하면 굉장히 위대한 풍경들을 볼 수 있을거야.,"Cuando visites el Amazonas, podrás ver espectáculos grandiosos. ",굉장히 위대한,grandiosos
